2022-10-13 12:26:57.863 [restartedMain] INFO  org.springframework.nativex.NativeListener - AOT mode disabled
2022-10-13 12:26:57.924 [restartedMain] INFO  com.shuai.base.BaseServerApplication - Starting BaseServerApplication using Java 17 on LAPTOP-9AOGQ1DT with PID 17452 (E:\All_workspace\IDEA_workspace\base_server\target\classes started by 是李帅啊 in E:\All_workspace\IDEA_workspace\base_server)
2022-10-13 12:26:57.926 [restartedMain] INFO  com.shuai.base.BaseServerApplication - The following 1 profile is active: "dev"
2022-10-13 12:26:58.119 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-10-13 12:26:58.131 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-10-13 12:26:58.803 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-10-13 12:26:58.804 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2022-10-13 12:26:58.823 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 14 ms. Found 0 JDBC repository interfaces.
2022-10-13 12:26:58.830 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-10-13 12:26:58.831 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-10-13 12:26:58.843 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 5 ms. Found 0 Redis repository interfaces.
2022-10-13 12:26:59.133 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.ws.config.annotation.DelegatingWsConfiguration' of type [org.springframework.ws.config.annotation.DelegatingWsConfiguration$$EnhancerBySpringCGLIB$$25455330] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
